Country Code,Country Name
AGO,Angola
AZE,Azerbaijan
BHR,Bahrain
BOL,Bolivia
CHL,Chile
CMR,Cameroon
COD,"Congo, Dem. Rep."
COG,"Congo, Rep."
COL,Colombia
DZA,Algeria
ECU,Ecuador
EGY,"Egypt, Arab Rep."
GAB,Gabon
GIN,Guinea
IDN,Indonesia
IRN,"Iran, Islamic Rep."
IRQ,Iraq
JAM,Jamaica
KAZ,Kazakhstan
KWT,Kuwait
MEX,Mexico
MMR,Myanmar
MNG,Mongolia
MRT,Mauritania
MYS,Malaysia
NGA,Nigeria
OMN,Oman
PER,Peru
QAT,Qatar
ROU,Romania
RUS,Russian Federation
SAU,Saudi Arabia
TUN,Tunisia
UKR,Ukraine
VEN,"Venezuela, RB"
VNM,Viet Nam
YEM,"Yemen, Rep."
ZAF,South Africa
ZWE,Zimbabwe
